"country","totalDeaths","totalRate"
"Venezuela",10599,36.752953057647005
"El Salvador",2313,36.339681282299
"Guatemala",5982,33.064290312207156
"Colombia",13171,25.287429235132734
"United States Virgin Islands",23,23.29113924050633
"Brazil",49437,22.84282472253363
"Puerto Rico",683,20.948902467676426
"Belize",82,19.959836913527656
"Bahamas",82,19.872862152618737
"Honduras",2091,19.73796366515578
"Greenland",11,19.419875359709053
"Saint Kitts and Nevis",9,18.846194115799392
"Mexico",22118,17.218405178188966
"Haiti",1975,16.84469016559226
"Trinidad and Tobago",221,14.397985063882102
"Jamaica",397,14.050391712180026
"Dominican Republic",1526,13.465135182545232
"Saint Vincent and the Grenadines",13,12.536403787922621
"Guyana",92,11.304516645900762
"Uruguay",382,11.15944924904502
"Saint Lucia",20,11.095638859146412
"United States",37040,10.89422777488489
"Panama",460,10.295233732019991
"Iraq",4424,9.722102576093473
"Eritrea",354,9.442767360354408
"Paraguay",625,9.108763592461383
"Costa Rica",420,8.058059469630038
"Philippines",9268,7.898592032505792
"Lesotho",182,7.810092871445012
"Somalia",1313,7.236800115171496
"Argentina",3309,7.229012945460341
"Antigua and Barbuda",6,6.3628072705677745
"Ecuador",1127,6.195547078351516
"South Africa",3610,5.9753871980556985
"Barbados",15,5.319243248993777
"Eswatini",64,5.285665440502402
"Palestine",266,4.952310737019268
"Mali",1105,4.743772328464119
"Suriname",28,4.4926801404283445
"Djibouti",51,4.4876391938088185
"Botswana",120,4.485391081248374
"Montenegro",28,4.469380751334828
"Burkina Faso",992,4.266394167942392
"Serbia",299,4.182358086225676
"Dominica",3,4.1073384446878425
"Guinea-Bissau",87,4.044927521407895
"Namibia",105,4.031991742480911
"Thailand",2804,3.9052229139260874
"Kenya",2098,3.8075820101078413
"Bolivia",452,3.6485241114572453
"Solomon Islands",27,3.6465592687433146
"Zambia",742,3.607241064871175
"Ivory Coast",1017,3.5223177446471334
"Comoros",30,3.520816829504445
"Chad",623,3.4083632809747457
"Guinea",477,3.361377226013931
"Central African Republic",188,3.273940910590938
"France",2098,3.2398250037401604
"Nicaragua",226,3.207352500812482
"Benin",424,3.091995320002555
"San Marino",1,2.9724748825872425
"Togo",269,2.9711284732519463
"Ethiopia",3712,2.9337597822947914
"Mozambique",991,2.9235320255380404
"Finland",161,2.903267979749255
"Niger",778,2.8599951850620906
"Georgia",103,2.762666557948138
"Monaco",1,2.7550486266082594
"Switzerland",239,2.716937513506533
"South Sudan",295,2.660342926319503
"Austria",237,2.6453963406466823
"Micronesia",3,2.603624244948969
"Turkey",2232,2.6009075512654665
"Chile",503,2.5624580034529507
"Peru",879,2.5587494253366088
"Laos",192,2.515136998333329
"Tanzania",1684,2.4971045301895045
"Ukraine",917,2.4956024871549953
"Albania",70,2.471368315434154
"Croatia",98,2.4447334330019554
"Marshall Islands",1,2.3811791599199923
"Guam",4,2.312780424626486
"Uganda",1108,2.280664407766
"Nigeria",5103,2.2801136662801507
"American Samoa",1,2.2771781208726147
"Canada",875,2.2562425784123588
"North Macedonia",46,2.2055167645644413
"Israel",201,2.190850311514935
"Portugal",211,2.0590176924266697
"Cameroon",589,2.056040687683824
"Northern Mariana Islands",1,2.0081934291911
"Belgium",228,1.95102916788606
"Seychelles",2,1.8577001671930151
"Mauritania",89,1.8301501401709936
"Bulgaria",121,1.8092870855629806
"Armenia",50,1.7998754486189554
"Sierra Leone",158,1.7972738767834533
"Rwanda",251,1.7808133748023989
"Morocco",659,1.7415413153325083
"Sao Tome and Principe",4,1.7252087502587814
"Jordan",195,1.7200238651106126
"Russia",2480,1.7169240925497131
"Liberia",93,1.7163811229820296
"Slovenia",36,1.6983735714201469
"Burundi",222,1.6769196707889429
"Grenada",2,1.5849995641251198
"Bermuda",1,1.5608172439089107
"Lebanon",82,1.5315852093695659
"Malawi",318,1.519223117072241
"Zimbabwe",253,1.5181145569244656
"Cyprus",19,1.5077713710720573
"Vanuatu",5,1.4947414994050927
"Madagascar",447,1.4739957472419791
"Republic of the Congo",90,1.4737502965922473
"Afghanistan",620,1.4678081036927826
"Saudi Arabia",534,1.4453125792942734
"Sweden",152,1.432329138682065
"Greece",148,1.4311578734425159
"Sri Lanka",311,1.4205078119022934
"Norway",77,1.4065571135255994
"Ghana",478,1.4008563687018796
"Yemen",472,1.3701085564295319
"Latvia",25,1.3659627223309225
"Papua New Guinea",141,1.3649655549490118
"Senegal",241,1.356740350803514
"Italy",797,1.3538129504761633
"Samoa",3,1.3293099552022545
"DR Congo",1325,1.2956812216617404
"Slovakia",75,1.2941747125508547
"Andorra",1,1.248626510838078
"Pakistan",2949,1.2262685536116253
"Germany",1020,1.2245686946000471
"Luxembourg",8,1.2218068079075337
"Estonia",16,1.2095874928653239
"Cambodia",200,1.1803012907892947
"Bosnia and Herzegovina",37,1.1523439142382057
"Gabon",28,1.1491582825993631
"Belarus",108,1.1370529986719642
"Angola",417,1.1367291020805086
"Denmark",64,1.0827430550914892
"Gambia",30,1.081795260871321
"Kazakhstan",209,1.0659657882105509
"Iceland",4,1.0657628997276976
"Lithuania",28,1.0300358452474145
"India",14712,1.0297994628709637
"Libya",70,1.0162029200445735
"Iran",873,0.9789984424280566
"Timor-Leste",13,0.95546363505405
"Sudan",450,0.9353758005309858
"United Arab Emirates",89,0.9351813216760005
"Malta",5,0.9344676524677422
"New Zealand",48,0.9181155677970965
"Bangladesh",1580,0.9135360187217991
"Australia",241,0.9115283793014068
"Equatorial Guinea",15,0.8748033879385608
"Turkmenistan",57,0.874756372676908
"Mongolia",30,0.8702823805240086
"Kiribati",1,0.7489795154102535
"Egypt",816,0.7239395213116705
"Cuba",78,0.696773909997714
"Kyrgyzstan",46,0.6829640700026294
"Myanmar",366,0.6705999122686749
"Moldova",22,0.6402922526674721
"Spain",303,0.6376312541840605
"Tunisia",79,0.6341193282541178
"Nepal",192,0.6214278015793976
"Bahrain",9,0.6058529433345742
"Ireland",29,0.5734698982684175
"Algeria",254,0.556938399981757
"Hungary",56,0.5513852125772148
"Azerbaijan",55,0.5282036246101017
"Malaysia",179,0.5217362157073205
"Vietnam",507,0.5128518965657637
"Bhutan",4,0.5079855325720324
"Netherlands",85,0.4824529314663124
"Kuwait",18,0.41762294587513815
"Tajikistan",39,0.38448104375364706
"Maldives",2,0.38386168695695566
"North Korea",93,0.3554934304240681
"Mauritius",4,0.30756052983452475
"Poland",112,0.27299716543630664
"Qatar",7,0.25769486057051433
"United Kingdom",162,0.23916098076197928
"Brunei",1,0.22098275450583837
"Fiji",2,0.21358964090241622
"Taiwan",51,0.21318150574361136
"Uzbekistan",58,0.16494168003452628
"Indonesia",440,0.15853906425243092
"Romania",31,0.15583518308020003
"Oman",4,0.08612552278192329
"South Korea",44,0.08496823317770437
"Japan",101,0.08191767625539022
"China",1126,0.07898033431199929
"Singapore",3,0.04987760866127999
"Tonga",0,0
"Palau",0,0
"Cook Islands",0,0
"Nauru",0,0
"Tuvalu",0,0
"Niue",0,0
"Tokelau",0,0
